TypeID	QuestID	TypeName	Content	Link
0	0			
0	1	声望日常任务	<text>text="声望日常任务" font=59</text><text>text="\\\n　　江湖纷争，危机重重，各大势力和组织不得不纷纷向各路侠士寻求援助。通过完成日常任务可以获得丰厚的奖励，有金钱、声望阅历以及修为。大部分日常任务每日只可完成一次，也有个别日常任务可反复完成。通过对各势力和组织的声望的积累，到达一定的声望级别后便可购买对应的物品和装备。" font=162</text>	
1	0	长安声望日常任务	<text>text="长安日常任务" font=59</text><text>text="\\\n　　长安门口的卫金铭正在寻求各路侠士的帮助，您只需要完成其交予的任务，便可获得金钱和长安城声望的奖励。" font=162</text>	
1	4661			
1	4662			
1	4663			
1	4664			
2	0	扬州声望日常任务	<text>text="扬州日常任务" font=59</text><text>text="\\\n　　扬州城捕头马力影正在寻求各路侠士的帮助，您只需要完成其交予的任务，便可获得金钱和扬州城声望的奖励。" font=162</text>	
2	4669			
2	4670			
2	4672			
2	4673			
3	0	洛阳声望日常任务	<text>text="洛阳日常任务" font=59</text><text>text="\\\n　　洛阳城守卫军官正在寻求各路侠士的帮助，您只需要完成其交予的任务，便可获得金钱和洛阳城声望的奖励。" font=162</text>	
3	2303			
3	4665			
3	4666			
3	4667			
3	4671			
4	0	镖局声望日常任务	<text>text="镖局日常任务" font=59</text><text>text="\\\n　　镖局的田义正在寻求各路侠士的帮助，到达50级的侠士便可接取任务，您只需要完成其交予的任务，便可获得金钱和镖局联盟声望的奖励。" font=162</text>	
4	2309			
4	2311			
4	2350			
5	0	浩气盟声望日常任务	<text>text="浩气盟日常任务" font=59</text><text>text="\\\n　　浩气盟日常任务分为阵营任务和声望任务，声望任务给予的金钱和声望奖励高于阵营任务。两种任务可在浩气盟落雁城会盟院的花慕岚和云无伤处接取。" font=162</text>	
5	4212			
5	4213			
5	4214			
5	4215			
5	4230			
5	4231			
5	4232			
5	4233			
6	0	恶人谷声望日常任务	<text>text="恶人谷日常任务" font=59</text><text>text="\\\n　　恶人谷日常任务分为阵营任务和声望任务，声望任务给予的金钱和声望奖励高于阵营任务。两种任务可在恶人谷碧落之峰的李卫、恶人谷融天谷中的申药郎、恶人谷雪魔渊的欧阳智以及恶人谷黄泉路的董元处接取。" font=162</text>	
6	4197			
6	4208			
6	4210			
6	4211			
6	4225			
6	4226			
6	4227			
6	4228			
7	0	东篱寨声望日常任务	<text>text="东漓寨日常任务" font=59</text><text>text="\\\n　　东漓寨江流集的孔胜和元晴正在寻求各路侠士的帮助，您只需要完成其交予的任务，便可获得金钱和东漓寨声望的奖励。" font=162</text>	
7	4192			
7	4193			
7	4194			
7	4195			
8	0	长歌门声望日常任务	<text>text="长歌门日常任务" font=59</text><text>text="\\\n　　龙门客栈附近的鱼玄机和诗人达达正在寻求各路侠士的帮助，您只需要完成其交予的任务，便可获得金钱和长歌门声望的奖励。" font=162</text>	
8	4236			
8	4237			
8	4238			
8	4239			
9	0	隐元会声望日常任务	<text>text="隐元会日常任务" font=59</text><text>text="\\\n　　神秘莫测的隐元会正在寻求各路侠士的帮助，您只需要完成其交予的任务，便可获得金钱和隐元会声望的奖励。" font=162</text>	
9	4198			
9	4199			
9	4200			
9	4201			
10	0	南洋商会声望日常任务	<text>text="南洋商会日常任务" font=59</text><text>text="\\\n　　帮助南洋商会的岚风和李布，完成他们交予的任务，便可获得金钱和南洋商会声望的奖励。" font=162</text>	
10	4203			
10	4205			
10	4206			
10	4296			
11	0	天策声望日常任务	<text>text="天策日常任务" font=59</text><text>text="\\\n　　天策府秦王殿前的古亮，正在寻求各路侠士的帮助，您只需要完成其交予的任务，便可获得金钱和天策门派声望的奖励。" font=162</text>	
11	2932			
11	4627			
11	4628			
11	5188			
12	0	万花声望日常任务	<text>text="万花日常任务" font=59</text><text>text="\\\n　　万花谷的防风，正在寻求各路侠士的帮助，您只需要完成其交予的任务，便可获得金钱和万花门派声望的奖励。" font=162</text>	
12	4494			
12	4629			
12	4630			
12	5187			
13	0	少林声望日常任务	<text>text="少林日常任务" font=59</text><text>text="\\\n　　证道院的澄如，正在寻求各路侠士的帮助，您只需要完成其交予的任务，便可获得金钱和少林门派声望的奖励。" font=162</text>	
13	4491			
13	4647			
13	4648			
13	5191			
14	0	纯阳声望日常任务	<text>text="纯阳日常任务" font=59</text><text>text="\\\n　　太极广场的山木，正在寻求各路侠士的帮助，您只需要完成其交予的任务，便可获得金钱和纯阳门派声望的奖励。" font=162</text>	
14	4506			
14	4653			
14	4654			
14	5190			
15	0	七秀声望日常任务	<text>text="七秀日常任务" font=59</text><text>text="\\\n　　七秀坊的娜香，正在寻求各路侠士的帮助，您只需要完成其交予的任务，便可获得金钱和七秀门派声望的奖励。" font=162</text>	
15	4508			
15	4650			
15	4651			
15	5192			
16	0	藏剑声望日常任务	<text>text="藏剑日常任务\\\n　　藏剑山庄的叶芳羽，正在寻求各路侠士的帮助，您只需要完成其交予的任务，便可获得金钱和藏剑门派声望的奖励。\\\n" font=162</text>	
16	5328			
16	5384			
16	5576			
16	5577			
17	0	五毒声望日常任务		
17	7287			
18	0	唐门声望日常任务		
18	7906			
19	0	明教声望日常任务		
19	9808			
20	0	丐帮声望日常任务		
20	11189			
21	0	九黎族声望日常任务		
21	6755			
21	7281			
21	7282			
21	7283			
21	7284			
21	7418			
22	0	无愧南灵声望日常任务		
22	7716			
22	7717			
22	7718			
22	7719			
22	7721			
22	7724			
22	7731			
22	7747			
22	7749			
22	7756			
22	7758			
22	7760			
22	7761			
22	7927			
22	7940			
22	8024			
23	0	义军声望日常任务		
23	11230			
23	11319			
23	11425			
23	11426			
23	11428			
24	0	凌烟阁声望日常任务		
24	11167			
24	11168			
24	11170			
25	0	潼关守备军声望日常任务		
25	11177			
25	11178			
25	11179			
25	11180			
25	11480			
26	0	屠狼会声望日常任务		
26	9600			
26	9604			
26	9638			
27	0	靖世军·忠声望日常任务		
27	11655			
27	11656			
27	11670			
27	11671			
27	11677			
27	11679			
27	11680			
27	11681			
27	11687			
27	11688			
27	11689			
27	11802			
28	0	西域商会声望日常任务		
28	11513			
28	11660			
28	11662			
28	11672			
28	11673			
28	11674			
28	11675			
28	11691			
28	11804			
28	11805			
29	0	靖世军·义声望日常任务		
29	11684			
29	11686			
30	0	大燕长安府		
30	11535			
30	11536			
30	11537			
30	11538			
30	11798			
30	11799			
30	11800			
30	11801			
31	0	苍云声望日常任务	<text>text="苍云日常任务" font=31</text><text>text="\\\n　　苍云的风夜北，正在寻求各路侠士的帮助，您只需要完成其交予的任务，便可获得金钱和苍云门派声望的奖励。" font=162</text>	
31	12692			
32	0	灵武先锋军声望日常任务		
32	12739			
32	12742			
32	12743			
32	12745			
32	12746			
32	12747			
32	12748			
32	12749			
32	12750			
33	0	战乱太原声望日常任务		
33	12752			
33	12755			
33	12756			
33	12757			
33	12758			
33	12759			
34	0	武林盟声望日常任务		
34	12760			
34	12761			
34	12763			
34	12764			
34	12765			
34	12766			
34	12767			
34	12768			
34	12769			
35	0	建宁铁卫声望日常任务		
35	12770			
35	12771			
35	12772			
35	12773			
35	12774			
35	12775			
35	12776			
35	12777			
35	12778			
36	0	河东商会声望日常任务		
36	12779			
36	12780			
36	12781			
36	12782			
36	12786			
36	12787			
36	12788			
36	12789			
36	12790			
37	0	太原联军声望日常任务		
37	12791			
37	12792			
37	12795			
37	12796			
37	12798			
37	12799			
37	12800			
37	12802			
37	12803			

 -- by 每天涨停@梦江南 $ Jx3UnPack-PAKV3 jx3.mail@gmail.com
